iter	MAE
0	0.0689226928
1	0.0687479942
2	0.06861754543
3	0.06855704978
4	0.06849915521
5	0.06844508338
6	0.06841191559
7	0.06838013957
8	0.06835393633
9	0.06833153734
10	0.06831223063
11	0.06829742212
12	0.06828002134
13	0.06826789678
14	0.06824071168
15	0.06823006857
16	0.06820989053
17	0.06819578007
18	0.0681887835
19	0.06817762967
20	0.06816713154
21	0.06816332562
22	0.06815888412
23	0.06814692371
24	0.06813867247
25	0.06813503338
26	0.06812550148
27	0.06811975886
28	0.0681160793
29	0.06810556874
30	0.06809675193
31	0.06808601197
32	0.06808121964
33	0.0680740414
34	0.06806725677
35	0.06805532693
36	0.06805184488
37	0.06804969539
38	0.06804584278
39	0.06803533891
40	0.06802982058
41	0.06802563164
42	0.06802386082
43	0.06801712852
44	0.06801346149
45	0.06801145787
46	0.06800489724
47	0.06799716139
48	0.06799259998
49	0.06798987466
50	0.06798755682
51	0.06798374051
52	0.06798081268
53	0.06797736232
54	0.06797508454
55	0.06797015343
56	0.06796623363
57	0.06796410599
58	0.06795947818
59	0.06795418946
60	0.06795135498
61	0.06794474331
62	0.06794312062
63	0.06793426413
64	0.06793077504
65	0.06792775716
66	0.06792598057
67	0.06792084229
68	0.06791841446
69	0.06790385794
70	0.06790203909
71	0.06789812401
72	0.06789388294
73	0.06788965927
74	0.06788157747
75	0.06787983294
76	0.06787315537
77	0.06786989521
78	0.06786746222
79	0.06786436613
80	0.06786025398
81	0.06785710749
82	0.06785601712
83	0.06784786915
84	0.06784173407
85	0.06783673136
86	0.06783078445
87	0.06782685516
88	0.06782226527
89	0.06782090083
90	0.06781357554
91	0.06780855433
92	0.067803999
93	0.06780073159
94	0.06779383253
95	0.06778774493
96	0.06778436704
97	0.06778081117
98	0.06777860318
99	0.06777339915
100	0.06777043448
101	0.0677649602
102	0.06776205235
103	0.06775819636
104	0.06775615443
105	0.06775031852
106	0.06774734316
107	0.06774551344
108	0.06773846553
109	0.06773523005
110	0.06773262988
111	0.06772907214
112	0.06772753487
113	0.06772448361
114	0.06772218604
115	0.06772092249
116	0.06771470305
117	0.06771211133
118	0.06771171348
119	0.06770773859
120	0.06770423691
121	0.06769989649
122	0.06769970377
123	0.06769660577
124	0.06769380625
125	0.06768898399
126	0.06768560015
127	0.06768351365
128	0.06768123058
129	0.06767742961
130	0.06767415834
131	0.06766960864
132	0.06766858795
133	0.06766325525
134	0.06765699969
135	0.06765360183
136	0.06765009282
137	0.06764539605
138	0.0676393913
139	0.06763406809
140	0.06763286934
141	0.06763156539
142	0.06762862125
143	0.0676261202
144	0.06762253807
145	0.06762218006
146	0.06761935393
147	0.06761568702
148	0.06761149131
149	0.0676082879
150	0.06760746174
151	0.06760573847
152	0.06760390073
153	0.06760106579
154	0.06759983832
155	0.06759866677
156	0.06759771873
157	0.06759606201
158	0.06759336342
159	0.06759147105
160	0.06758885299
161	0.06758628803
162	0.06758532741
163	0.06758344357
164	0.06757978743
165	0.06757842442
166	0.06757581118
167	0.06757178747
168	0.06756516631
169	0.06756278622
170	0.06756034406
171	0.06755925759
172	0.06755659902
173	0.0675537859
174	0.06755227187
175	0.06755133692
176	0.06754783411
177	0.06754763884
178	0.06754726318
179	0.06754556103
180	0.0675441784
181	0.06754141334
182	0.06753924262
183	0.06753890704
184	0.06753619765
185	0.06753269632
186	0.06752871251
187	0.06752740665
188	0.06752547095
189	0.06752474299
190	0.06752353257
191	0.06751936546
192	0.06751691317
193	0.06751570104
194	0.06751217756
195	0.06751032123
196	0.06750797709
197	0.067507228
198	0.06750547121
199	0.06750303277
